,label,score
0,POSITIVE,0.6301777958869934
1,POSITIVE,0.93764728307724
2,POSITIVE,0.9992983341217041
3,POSITIVE,0.9983457326889038
4,POSITIVE,0.9496822357177734
5,POSITIVE,0.8944113254547119
6,POSITIVE,0.953611433506012
7,NEGATIVE,0.9812121987342834
8,NEGATIVE,0.9976479411125183
9,NEGATIVE,0.9940789937973022
10,POSITIVE,0.9922401905059814
11,POSITIVE,0.9936321377754211
12,NEGATIVE,0.9644376039505005
13,NEGATIVE,0.900910496711731
14,NEGATIVE,0.9994459748268127
15,NEGATIVE,0.9249796271324158
16,NEGATIVE,0.9996631145477295
17,POSITIVE,0.9981865286827087
18,NEGATIVE,0.9954541921615601
19,POSITIVE,0.9980870485305786
20,NEGATIVE,0.9813014268875122
21,POSITIVE,0.999717652797699
22,NEGATIVE,0.9968987703323364
23,POSITIVE,0.9931023120880127
24,POSITIVE,0.9990308284759521
25,POSITIVE,0.8271796107292175
26,POSITIVE,0.9994627833366394
27,NEGATIVE,0.8980951309204102
28,POSITIVE,0.65522700548172
29,NEGATIVE,0.9918736815452576
30,POSITIVE,0.9992311000823975
31,NEGATIVE,0.8889397382736206
32,NEGATIVE,0.734078049659729
33,POSITIVE,0.7258143424987793
34,POSITIVE,0.7704291939735413
35,NEGATIVE,0.9997497200965881
36,POSITIVE,0.9910326600074768
37,POSITIVE,0.9876250624656677
38,POSITIVE,0.9698977470397949
39,NEGATIVE,0.9878066182136536
40,POSITIVE,0.9939471483230591
41,NEGATIVE,0.9973526000976562
42,POSITIVE,0.9848218560218811
43,POSITIVE,0.9993570446968079
44,NEGATIVE,0.8108115196228027
45,POSITIVE,0.9874974489212036
46,NEGATIVE,0.9975378513336182
47,NEGATIVE,0.9593963027000427
48,POSITIVE,0.9993232488632202
49,POSITIVE,0.9989922642707825
50,POSITIVE,0.998814582824707
51,NEGATIVE,0.739029586315155
52,NEGATIVE,0.6710792779922485
53,NEGATIVE,0.9991523027420044
54,NEGATIVE,0.9017741680145264
55,NEGATIVE,0.8316031694412231
56,POSITIVE,0.7435750365257263
57,POSITIVE,0.9998370409011841
58,POSITIVE,0.9997876286506653
59,POSITIVE,0.9883316159248352
60,NEGATIVE,0.8935537934303284
61,NEGATIVE,0.8093726634979248
62,NEGATIVE,0.9960609078407288
63,POSITIVE,0.9990431666374207
64,NEGATIVE,0.9988401532173157
65,POSITIVE,0.9883893728256226
66,POSITIVE,0.9889041781425476
67,POSITIVE,0.9988206028938293
68,NEGATIVE,0.9892358183860779
69,NEGATIVE,0.9961942434310913
70,NEGATIVE,0.9922352433204651
71,POSITIVE,0.9961830973625183
72,POSITIVE,0.9966174960136414
73,NEGATIVE,0.9842745661735535
74,POSITIVE,0.9998332262039185
75,POSITIVE,0.983851969242096
76,NEGATIVE,0.8894977569580078
77,POSITIVE,0.9987267851829529
78,POSITIVE,0.9990488886833191
79,POSITIVE,0.9627763628959656
80,POSITIVE,0.9995648264884949
81,POSITIVE,0.9991676807403564
82,NEGATIVE,0.7948831915855408
83,POSITIVE,0.9831761121749878
84,POSITIVE,0.83123779296875
85,POSITIVE,0.9917957186698914
86,NEGATIVE,0.816609263420105
87,NEGATIVE,0.9995241165161133
88,POSITIVE,0.9837571978569031
89,POSITIVE,0.9994416832923889
90,NEGATIVE,0.987697184085846
91,POSITIVE,0.9971572160720825
92,POSITIVE,0.999728262424469
93,POSITIVE,0.9961408972740173
94,POSITIVE,0.9992849230766296
95,POSITIVE,0.9978783130645752
96,POSITIVE,0.9980766773223877
97,NEGATIVE,0.9883954524993896
98,POSITIVE,0.9869329333305359
99,NEGATIVE,0.9992805123329163
100,POSITIVE,0.9554012417793274
101,NEGATIVE,0.9716586470603943
102,NEGATIVE,0.9853701591491699
103,POSITIVE,0.9996165037155151
104,NEGATIVE,0.9866661429405212
105,POSITIVE,0.9922583699226379
106,NEGATIVE,0.9966123700141907
107,NEGATIVE,0.9994001388549805
108,NEGATIVE,0.9945915341377258
109,POSITIVE,0.9996905326843262
110,POSITIVE,0.9996577501296997
111,NEGATIVE,0.9982184767723083
112,POSITIVE,0.9375211000442505
113,NEGATIVE,0.978199303150177
114,NEGATIVE,0.9965631365776062
115,NEGATIVE,0.9892639517784119
116,POSITIVE,0.9986428618431091
117,POSITIVE,0.9996589422225952
118,NEGATIVE,0.9876894950866699
119,POSITIVE,0.9993632435798645
120,POSITIVE,0.9964216947555542
121,NEGATIVE,0.9856723546981812
122,NEGATIVE,0.8052265644073486
123,POSITIVE,0.5574900507926941
124,POSITIVE,0.9360504746437073
125,NEGATIVE,0.994862973690033
126,NEGATIVE,0.9864047765731812
127,POSITIVE,0.9991657733917236
128,POSITIVE,0.6020730137825012
129,POSITIVE,0.996973991394043
130,POSITIVE,0.9982563853263855
131,POSITIVE,0.9645471572875977
132,POSITIVE,0.9961395859718323
133,POSITIVE,0.995225191116333
134,POSITIVE,0.9863720536231995
135,POSITIVE,0.9989560842514038
136,POSITIVE,0.9983892440795898
137,NEGATIVE,0.993831992149353
138,POSITIVE,0.9912330508232117
139,POSITIVE,0.9998462200164795
140,NEGATIVE,0.9357439875602722
141,POSITIVE,0.9303119778633118
142,NEGATIVE,0.655470609664917
143,POSITIVE,0.9966758489608765
144,POSITIVE,0.5674383640289307
145,POSITIVE,0.9986294507980347
146,POSITIVE,0.9996533393859863
147,POSITIVE,0.9997281432151794
148,NEGATIVE,0.9946070313453674
149,POSITIVE,0.9863569736480713
150,POSITIVE,0.9841821789741516
151,POSITIVE,0.9230520129203796
152,POSITIVE,0.9272656440734863
153,NEGATIVE,0.961635947227478
154,POSITIVE,0.9353703260421753
155,NEGATIVE,0.9614530801773071
156,NEGATIVE,0.9835928678512573
157,POSITIVE,0.9977220892906189
158,NEGATIVE,0.7662955522537231
159,NEGATIVE,0.9629011750221252
160,POSITIVE,0.9982686042785645
